0	0.0124
200	0.007
400	0.01
600	0.015
800	0.017
1000	0.019
1200	0.022
1400	0.026
1600	0.03
1800	0.035
2000	0.041
2200	0.049
2400	0.058
2600	0.068
2800	0.08
3000	0.095
3200	0.112
3400	0.13
3600	0.149
3800	0.173
4000	0.197
4200	0.222
4400	0.248
4600	0.276
4800	0.303
5000	0.329
5200	0.353
5400	0.373
5600	0.392
5800	0.406
6000	0.415
6200	0.421
6400	0.421
6600	0.414
6800	0.406
7000	0.391
7200	0.374
7400	0.353
7600	0.33
7800	0.307
8000	0.281
8200	0.249
8400	0.205
8600	0.171
8800	0.141
9000	0.105
9200	0.019
