0	0.044
20	0.012
40	0.01
60	0.0087
80	0.0088
100	0.0092
120	0.0096
140	0.0102
160	0.0109
180	0.0116
200	0.0125
220	0.0136
240	0.0144
260	0.0154
280	0.0161
300	0.0174
320	0.0184
340	0.0189
360	0.02
380	0.0205
400	0.0219
420	0.0229
440	0.0237
460	0.0245
480	0.0254
500	0.0262
520	0.0268
540	0.0272
560	0.0273
580	0.0273
600	0.0271
620	0.0269
640	0.0266
660	0.0263
680	0.0261
700	0.026
720	0.0257
740	0.0255
760	0.0255
780	0.0256
800	0.0258
820	0.026
840	0.0263
860	0.0267
880	0.0271
900	0.0277
920	0.0284
940	0.0292
960	0.0301
980	0.0312
1000	0.032
1020	0.0329
1040	0.0341
1060	0.035
1080	0.0363
1100	0.0373
1120	0.0385
1140	0.0395
1160	0.0407
1180	0.0417
1200	0.0426
1220	0.0436
1240	0.0445
1260	0.0453
1280	0.0461
1300	0.0469
1320	0.0476
1340	0.0483
1360	0.0489
1380	0.0496
1400	0.0501
1420	0.0505
1440	0.0509
1460	0.0511
1480	0.0513
1500	0.0513
1520	0.0513
1540	0.0515
1560	0.0513
1580	0.051
1600	0.0507
1620	0.0502
1640	0.0497
1660	0.0491
1680	0.0486
1700	0.0477
1720	0.047
1740	0.0463
1760	0.0456
1780	0.045
1800	0.0445
1820	0.0442
1840	0.044
1860	0.0441
1880	0.0443
1900	0.0448
1920	0.0456
1940	0.0471
1960	0.0485
1980	0.0495
2000	0.0528
2020	0.0542
2040	0.0585
2060	0.0622
2080	0.0661
2100	0.0711
2120	0.0747
2140	0.0799
2160	0.0854
2180	0.091
2200	0.0964
2220	0.1017
2240	0.106
2260	0.111
2280	0.116
2300	0.119
2320	0.123
2340	0.126
2360	0.129
2380	0.131
2400	0.132
2420	0.132
2440	0.1326
2460	0.1313
2480	0.1315
2500	0.1297
2520	0.1264
2540	0.1227
2560	0.1185
2580	0.1142
2600	0.1086
2620	0.1039
2640	0.0984
2660	0.092
2680	0.0869
2700	0.0816
2720	0.0781
2740	0.0719
2760	0.0681
2780	0.0654
2800	0.0635
2820	0.0629
2840	0.0635
2860	0.0657
2880	0.071
2900	0.0732
2920	0.0788
2940	0.087
2960	0.0955
2980	0.1046
3000	0.1154
3020	0.1281
3040	0.1409
3060	0.1555
3080	0.17
3100	0.1819
3120	0.1998
3140	0.213
3160	0.227
3180	0.238
3200	0.25
3220	0.263
3240	0.272
3260	0.281
3280	0.287
3300	0.29
3320	0.293
3340	0.293
3360	0.291
3380	0.288
3400	0.282
3420	0.274
3440	0.265
3460	0.255
3480	0.244
3500	0.23
3520	0.216
3540	0.201
3560	0.1864
3580	0.1722
3600	0.1577
3620	0.143
3640	0.1307
3660	0.1196
3680	0.1118
3700	0.1048
3720	0.1004
3740	0.0988
3760	0.0991
3780	0.1027
3800	0.1087
3820	0.1188
3840	0.1303
3860	0.1449
3880	0.1632
3900	0.1791
3920	0.205
3940	0.228
3960	0.252
3980	0.277
4000	0.3
4020	0.335
4040	0.359
4060	0.388
4080	0.412
4100	0.437
4120	0.462
4140	0.479
4160	0.5
4180	0.513
4200	0.525
4220	0.535
4240	0.535
4260	0.53
4280	0.522
4300	0.514
4320	0.498
4340	0.481
4360	0.459
4380	0.437
4400	0.419
4420	0.387
4440	0.357
4460	0.333
4480	0.305
4500	0.275
4520	0.254
4540	0.228
4560	0.208
4580	0.192
4600	0.172
4620	0.163
4640	0.156
4660	0.154
4680	0.156
4700	0.162
4720	0.174
4740	0.196
4760	0.213
4780	0.244
4800	0.273
4820	0.313
4840	0.343
4860	0.385
4880	0.431
4900	0.46
4920	0.512
4940	0.551
4960	0.595
4980	0.638
5000	0.677
5020	0.713
5040	0.742
5060	0.776
5080	0.802
5100	0.821
5120	0.833
5140	0.842
5160	0.843
5180	0.84
5200	0.826
5220	0.81
5240	0.788
5260	0.757
5280	0.723
5300	0.689
5320	0.645
5340	0.603
5360	0.552
5380	0.51
5400	0.462
5420	0.422
5440	0.374
5460	0.339
5480	0.305
5500	0.272
5520	0.238
5540	0.219
5560	0.203
5580	0.193
5600	0.19
5620	0.197
5640	0.214
5660	0.233
5680	0.259
5700	0.293
5720	0.337
5740	0.372
5760	0.437
5780	0.489
5800	0.55
5820	0.604
5840	0.667
5860	0.731
5880	0.795
5900	0.845
5920	0.896
5940	0.946
5960	0.991
5980	1.028
6000	1.065
6020	1.087
6040	1.104
6060	1.11
6080	1.11
6100	1.102
6120	1.09
6140	1.057
6160	1.02
6180	0.98
6200	0.929
6220	0.881
6240	0.812
6260	0.752
6280	0.699
6300	0.631
6320	0.574
6340	0.512
6360	0.451
6380	0.39
6400	0.341
6420	0.301
6440	0.259
6460	0.231
6480	0.204
6500	0.194
6520	0.189
6540	0.195
6560	0.212
6580	0.233
6600	0.264
6620	0.306
6640	0.355
6660	0.415
6680	0.47
6700	0.536
6720	0.592
6740	0.679
6760	0.727
6780	0.813
6800	0.873
6820	0.933
6840	0.997
6860	1.043
6880	1.099
6900	1.123
6920	1.158
6940	1.179
6960	1.193
6980	1.185
7000	1.174
7020	1.149
7040	1.119
7060	1.082
7080	1.019
7100	0.965
7120	0.908
7140	0.83
7160	0.77
7180	0.704
7200	0.613
7220	0.557
7240	0.478
7260	0.422
7280	0.359
7300	0.314
7320	0.265
7340	0.225
7360	0.197
7380	0.175
7400	0.162
7420	0.159
7440	0.161
7460	0.172
7480	0.194
7500	0.22
7520	0.258
7540	0.296
7560	0.354
7580	0.411
7600	0.463
7620	0.522
7640	0.59
7660	0.651
7680	0.716
7700	0.769
